"State/System/Region","Requirement(MW) - Apr13","Availability(MW) - Apr13","Surplus / Deficit (MW) - Apr13","Surplus / Deficit (%) - Apr13"
"Chandigarh",226,226,0,0
"Delhi",4190,4190,0,0
"Haryana",6094,5834,-260,-4.27
"Himachal Pradesh",1293,1269,-24,-1.86
"Jammu & Kashmir",2186,1639,-547,-25.02
"Punjab",5208,5208,0,0
"Rajasthan",7512,7479,-33,-0.44
"Uttar Pradesh",12083,10638,-1445,-11.96
"Uttarakhand",1673,1673,0,0
"Northern Region",37674,35764,-1910,-5.07
"Chhattisgarh",3365,3320,-45,-1.34
"Gujarat",11595,11574,-21,-0.18
"Madhya Pradesh",7340,7303,-37,-0.5
"Maharashtra",17381,16670,-711,-4.09
"Daman & Diu",284,259,-25,-8.8
"Dadra  & Nagar Haveli",617,617,0,0
"Goa",493,472,-21,-4.26
"Western Region",37892,37361,-531,-1.4
"Andhra Pradesh",14072,11410,-2662,-18.92
"Karnataka",9934,8103,-1831,-18.43
"Kerala",3510,3053,-457,-13.02
"Tamil Nadu",13380,11388,-1992,-14.89
"Puducherry",321,321,0,0
"Lakshadweep  #",9,9,0,0
"Southern Region",39015,32507,-6508,-16.68
"Bihar",2329,1830,-499,-21.43
"DVC",2625,2584,-41,-1.56
"Jharkhand",1111,1069,-42,-3.78
"Orissa",3727,3722,-5,-0.13
"West Bengal",7178,7122,-56,-0.78
"Sikkim",80,80,0,0
"Andaman- Nicobar #",40,32,-8,-20
"Eastern Region",15642,15052,-590,-3.77
"Arunachal Pradesh",97,95,-2,-2.06
"Assam",1159,1012,-147,-12.68
"Manipur",99,98,-1,-1.01
"Meghalaya",290,273,-17,-5.86
"Mizoram",65,64,-1,-1.54
"Nagaland",82,80,-2,-2.44
"Tripura",210,206,-4,-1.9
"North-Eastern Region",1899,1718,-181,-9.53
"All India",132122,122402,-9720,-7.36
